"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
24046,Mégantic—L’Érable—Lotbinière,Mégantic—L’Érable—Lotbinière,2023,7332348765.42,668577.220859
24047,Mirabel,Mirabel,2023,756543366.367,180384.563993
24048,Mount Royal,Mont-Royal,2023,23550234.7511,27082.8412234
24049,Mont-Saint-Bruno—L’Acadie,Mont-Saint-Bruno—L’Acadie,2023,214742550.568,95969.2594175
24050,Montcalm,Montcalm,2023,755767520.308,164459.190368
24051,Montmorency—Charlevoix,Montmorency—Charlevoix,2023,13397364505.8,603553.30681
24052,Notre-Dame-de-Grâce—Westmount,Notre-Dame-de-Grâce—Westmount,2023,17359060.7138,25203.0842299
24053,Outremont,Outremont,2023,13267541.9144,20009.1610615
24054,Papineau,Papineau,2023,10203407.6854,16666.86255
24055,Pierre-Boucher—Les Patriotes—Verchères,Pierre-Boucher—Les Patriotes—Verchères,2023,779349587.412,192480.208629
24056,Pierrefonds—Dollard,Pierrefonds—Dollard,2023,65685269.5866,43887.1512601
24057,Pontiac—Kitigan Zibi,Pontiac—Kitigan Zibi,2023,30321891287.9,1342110.80433
24058,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier,2023,7547832084.39,505358.714668
24059,Québec Centre,Québec-Centre,2023,44674895.4003,35887.8877727
24060,Repentigny,Repentigny,2023,156325239.312,80772.2321283
24061,Richmond—Arthabaska,Richmond—Arthabaska,2023,3572314809.82,429796.188212
24062,Rimouski—La Matapédia,Rimouski—La Matapédia,2023,14002090124.8,790521.736578
24063,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,2023,105312675.656,73849.790706
24064,Rivière-du-Nord,Rivière-du-Nord,2023,305667611.12,111101.692592
24065,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie,2023,11025715.0298,15572.7951161
24066,Saint-Hyacinthe—Bagot—Acton,Saint-Hyacinthe—Bagot—Acton,2023,1949182949.15,268444.963825
24067,Saint-Jean,Saint-Jean,2023,734289244.003,196753.692382
24068,Saint-Laurent,Saint-Laurent,2023,45314601.6178,37727.1213318
24069,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel,2023,19802232.6863,20802.7504615
24070,Saint-Maurice—Champlain,Saint-Maurice—Champlain,2023,38967283904.1,1180212.0219
24071,Shefford,Shefford,2023,1433534916.07,281191.342782
24072,Sherbrooke,Sherbrooke,2023,101816033.769,52121.279379
24073,Terrebonne,Terrebonne,2023,160172341.123,104380.979324
24074,Thérèse-De Blainville,Thérèse-De Blainville,2023,80475725.429,43793.9109321
24075,Trois-Rivières,Trois-Rivières,2023,145263218.601,62935.5053721
24076,Vaudreuil,Vaudreuil,2023,430543725.563,132212.854144
24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,2023,27208645.4275,34411.1490918
24078,Vimy,Vimy,2023,33498830.317,27975.3217955
35001,Ajax,Ajax,2023,70828585.6832,37692.8809049
35002,Algonquin—Renfrew—Pembroke,Algonquin—Renfrew—Pembroke,2023,12778428999.2,633451.855404
35003,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,2023,101665552.895,45669.8341338
35004,Barrie South—Innisfil,Barrie-Sud—Innisfil,2023,407087314.201,87673.4784226
35005,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,2023,1365505029.49,168195.469853
35006,Bay of Quinte,Bay of Quinte,2023,2946019927.65,317880.233846
35007,Beaches—East York,Beaches—East York,2023,18779834.0876,21461.6730128
35008,Bowmanville—Oshawa North,Bowmanville—Oshawa-Nord,2023,411665312.871,94280.0922478
35009,Brampton Centre,Brampton-Centre,2023,31208193.2824,26236.7063769
35010,Brampton—Chinguacousy Park,Brampton—Chinguacousy Park,2023,38875395.3689,29391.1508737
35011,Brampton East,Brampton-Est,2023,85558318.7133,40705.6906789
35012,Brampton North—Caledon,Brampton-Nord—Caledon,2023,159625702.893,63764.6159262
35013,Brampton South,Brampton-Sud,2023,57324785.7409,39067.6519066
35014,Brampton West,Brampton-Ouest,2023,40020183.1244,28514.3110048
